Review.text,Product,Review,Authentic2,Verify,id
"This edition of The Lord of the Rings presents the story in an amazing way. Having 2 colored print enhances the beauty of the work, and a fold-out map in the back is quite handy and wonderfully done. Overall, this edition really is a collector's piece, whether to never open the book, or to explore each page in a whole new way.",p2,r5,1,1,11
"My father first read me the Hobbit for a summer reading program when I was 8 years old.  Almost 22 years later,I have just about all of the Middle Earth books and absolutely love re-reading them over and over again.  I  always find something new each time!  My father is still reading these  stories, now to my 7 year old niece.  There can never be anything to match  Tolkien's wonderful mind. Thank you Beren, we miss you!",p2,r6,1,0,12
"I would highly recommend this tent, it was a great size for two people and their belongings. It was a super easy set-up, and take down, only took about 10 minutes. It was very windy and rainy a few of the nights we used this tent, but it kept us warm and dry, even in 30mph wind speeds.",p3,r1,-1,1,13
You can't go wrong with Coleman tents.  This is very easy to set up - did it by myself with no problems at all.  Would definitely recommend.,p3,r2,-1,0,14
"Pros:CheapEasy to assembleSuper cool extension cord access port. Perfect for when you need to wire in power!I ACTUALLY managed to get it folded and packed back up into the original tent bag!! Amazing!Cons:I'm not sure if it was condensation or a slight leak-through, but near the bottom of the tent on one side got a bit damp overnight.  Nothing serious though, as the rest held up through the nightly rain.  I will place a towel there next time to see.Overall,  entirely pleased for the great price!",p3,r3,0,1,15
Excellent tent. Be aware that a queen size air mattress will fill up the entire tent. It is great for one person. Water proof and easy to put together.,p3,r4,0,0,16
"Went camping for the first time in a while and I felt it was time to buy my own tent!! I LOVE this. Its extremely easy to put up, and fit me and my friend perfectly. I also have the Coleman Queen size blow up mattress that is tall, which fit agains the side, so we had the other 3rd of the tent to put our stuff. It was tight, but for two people. Unless your trying to cram in there like sardines, I would say this fits 2 people, not 4 :)",p3,r5,1,1,17
Turned out to be my grandchildren's favorite Xmas gift.  Worked both inside (it was a rainy day) and outside when things dried out.,p3,r6,1,0,18
This book is very amazing. It is so interesting that I read for 3 hours straight!!! You need to read it.,p4,r1,-1,1,19
This book was amazing.  The movie doesn't even do it justice.  I look forward to reading the rest of the books.,p4,r2,-1,0,20
My usual rating for any book in this series. Harry Potter is a fantastic series that ought to be shared across generations.,p4,r3,0,1,21
Arrived a day early in perfect condition and the book itself was amazing! A great read as all the Harry Potters are!,p4,r4,0,0,22
"I have read all four books, and although they are all great, I would have to say that this one is my absolute favorite! I liked it because it was longer than the first two, but I think what was best about it, is that the ending went on for longer. You know how when you get to the last couple of chapter at the end of a book, it gets really exciting? Well the last six chapter are like this! The story was the best yet, it kept you thinking all the time, and just when you thought you had it all figured out... BANG! Everything would change! I stayed up 'till 3AM to finish it, and then I didn't fall asleep 'till 4 because I couldn't stop thinking about the incredible book I had just read.",p4,r5,1,1,23
"I have just finished this book and so far it is my favorite in the series!  I have never read anything anywhere near as imaginative as this  series and I cannot wait to read the others.  If you are considering not  reading these because they are for children, then you are depriving  yourself of these treasures!  I am 28 yrs old and started the first book  to see what all the fuss was about.  Now, I can't wait to get the entire  series in hardcover.  I love to read and have laughed and cried through  many books, but I have never burst out into a cheering fit while reading  like I did with this book!  I hope whatever your age you will indulge in  these fantastic stories!  Everyone I know who has read the series feels the  same way no matter what their age.  You will love them!",p4,r6,1,0,24
"The best vacuum ever. Way better than the dysons. It is powerful, easy to use, light and modular. It's easy to clean, can't say enough about how great this vacuum is.",p5,r1,-1,1,25
I purchased this vacuum for my sister who loves it so much that she has thanked me 3 times. She had a kirby vacuum and said that this one is so much better. Her other one was so heavy that she had a hard time using it. She told me she was amazed how much more dirt this one pulled out of the carpet. The lift off feature is great for cleaning drapes and chairs.,p5,r2,-1,0,26
This is a great vacuum. Has very good suction on all floors. The Shark is not as loud as most vacuums. It is easy to push. The pet hair tool is very good. I am glad I purchased the Shark Navigator Lift-Away Vacuum and I would recommend it to anyone.,p5,r3,0,1,27
"This is an amazing machine. Probably won't last many years, but wow does it pick up well. We run a Rhoomba daily, vacuum with this weekly. It always shocks be how much it picks up. Also, the removable feature is nice. We use it to clean some tall shaving and window lefties. Works great.",p5,r4,0,0,28
"This vacuum has changed the way I feel about vacuuming. I always hated it. Now I LOVE it. First, the machine is simple and easy to clean. Second, it never breaks. third, it removes insane amounts if dirt and dust from my living room rug. I have two long-haired cats. I actually enjoy testing my vacuum to see what kinds of awful messes it is capable of taking on. This product thrills me and have seriously improved my life. My boyfriend gave it to me for my birthday and I think of it as one fo the very best gifts I've ever received.",p5,r5,1,1,29
"Works great, and picks up cat hair a lot better than my older vacuum cleaner.  I'm now actually glad the old one broke.",p5,r6,1,0,30
"I really enjoyed this book even though some parts of it made you sad. The character development was well done to where you were able to see their strengths and weaknesses.  Anyone who likes fantasy and action, love and hate will like this book.",p6,r1,-1,1,31
Absolutely outstanding read!! Feyre was definitely a fierce protector to those she loved. She was a provider and a hunter her life seemed hopeless but she kept going. When Tamilin showed up to take her away for her actions I had no idea the events that were about to unfold. She stays strong and knows that love will win one way or another! There are characters in this story that I felt a strong bond with. Definitely a great author and I'm on to book 2!,p6,r2,-1,0,32
"I loved this book so much! I will never be able to express my love and adoration for this book in any words that exist or will ever exist. It has the perfect mix and quantity of genre's and will certainly not disappoint. A Court of Thorns and Roses, one of the best books out there!",p6,r3,0,1,33
"This reminded me a bit of Beauty and the Beast, if the Beast was a gorgeous fairy though.  I read this in one sitting and literally couldn't put it down. I'm looking forward to reading the next book in the series.",p6,r4,0,0,34
"At the beginning of this book it was a bit slow, but I mean what good book doesn't start slow? I honestly really enjoyed all the amazing details Maas always gives to her readers. I was so baffled at the climax, I didn't even see it coming. The whole story itself transformed into an amazing amazing! enjoyable read! I swear i couldn't put this book down, Its phenomenal , the romance is amazing!A lot of people still think this is an YA book but its i believe New Adult, and Maas really started a genre with a great book! I'm 23 and I really enjoyed a little more detail and I can tell the difference in the writing. I cannot wait for the next book!",p6,r5,1,1,35
"It's been a long time since I've read fantasy and I'm so glad I jumped at the chance! What a great book.I don't think I'll EVER get enough of Tamlin, Rhys and Lucien.Super stoked to move on to book two :)",p6,r6,1,0,36
"I bought it with a try attitude. The result didn't disappoint me. The appearance was good, the suction was great, the dust and hair could be sucked, it was very clean, and it was very light, and there was not much noise. It would not affect the baby's rest, very satisfied.  !",p7,r1,-1,1,37
This vacuum have  a strong power can let me easy to clean ! and the vacuum is very easy to set up ! and also it is very easy to clean all the corner!! i love it !,p7,r2,-1,0,38
Love my new vacuum! It picks all the dust and dirt off the floors of my old house. Amazing battery life and lightweight! Really can maneuver around the tightest corners. Love the spotlight feature as well!,p7,r3,0,1,39
"Compares really well with my shark duo clean cordless.. I would say the duo clean is easier for thick carpet, but this vacuum is better on battery usage and hard floors. This vacuum is also MUCH lighter in weight than my shark. . Which is GREAT for cleaning high up, stairs, or furniture. This cleans up dog hair really well too- we have three dogs and it does a great job.Con: One of the little fuzzy pads came off of the head, but the seller corrected the issue right away no problem.I知 really pleased, and very happy to now have a cordless on both levels of my home (‾3000sqft).",p7,r4,0,0,40
"This Vacuum Cleaner is much lighter than the ones I had before, yet it is very powerful! I can clean my whole house much easier with it and I don't have to worry about the wire length and I don't need to plug and unplug when I go to different rooms. It works very well on both my carpet and my wood floors!  Great product!",p7,r5,1,1,41
"Perfect for any small space. The filter is super easy to clean. I even sucked up spiders and was able to empty the canister without worrying about them touching me. Pivot head is awesome and makes cleaning stairs and the inside of my car super easy. There are two suction speeds, I usually use the lower setting it痴 powerful enough.",p7,r6,1,0,42
"I would recommend this book to anyone who is a Harry Potter fan. You should not just go out and read this book though, you would need to read the other six books; not just because it would keep the story in order, but because is is such a wonderful series. If your not a fan of the Hunger Games, or Wich and Wizard books, at least be Harry Potter fans. This is also a good book for anyone who likes fairy tales and fantasy. :)",p8,r1,-1,1,43
"This is indeed an adult book. It is interesting to follow how Rowlings has gradualy increased the intelligence level for the readers of her books from her first one, to this latest one to correspoond to the ages of the youngsters she  features in her book,(Harry, Ron and Heremoine). I can see how discussion groups will philosophize on the varioius incidents.",p8,r2,-1,0,44
"Deathly Hallows had me cheering, crying, worrying, smirking, and smiling. Harry proves himself to be a dedicated, albeit at times a bit stubborn and seemingly dense-at-times warrior who is out to save the wizarding and muggle worlds by finally defeating the Dark Lord.At times you want to hit Harry on the side of his head for not seeing the obvious, but you will always cheer him on as he moves through his greatest and most difficult adventures.The boy we met at age 11 has grown into a courageous young man who puts everyone else's welfare above his as he heads into the dark forest.",p8,r3,0,1,45
"Picked this book up at midnight on the release date, started reading it the same night, and finished it the next day, couldn't put it down I had to know what happened next.  J.K. Rowling did such a great job as a writer over the entire series, growing into the role of a writer and maturing as her characters matured.  I only wish she would have gone into more details in the epilogue of the book with the secondary characters and what happened with them, but that didn't take away from the 5 stars this book and series deserved.  If after a year since the release, and you still haven't read it you better get out there and get a copy.",p8,r4,0,0,46
"I think we've reached ""epic burnout."" So many long-running series have ended in recent years -- Star Wars, The Dark Tower, The Matrix... and so many of them have been found wanting at the end. Finally, we have an epic series that ends with the best chapter of all. Harry's final adventure is tense, gripping and desperate. The final battle scenes are without a doubt the best in the series, and the book carries an emotional punch that can't be underestimated. Whether or not this series would grow to epic status really depended on the ending. Now I feel confident that future generations will hold Harry Potter up next to the tales of Oz, Narnia and Middle-Earth.",p8,r5,1,1,47
"The final installment of the Harry Potter series is finally here and although at fist I didn't like the book and I was upset it was the end I came to my senses. The book was fantastic, from the very beginning when I was confused as to what was going on, till the final battle at Hogwarts where I bawled hysterically. I will admit the Epilogue was not my favorite but overall this book cleaned up a lot of the loose ends and I was more then happy to read about Snape and Dumbledore's amazing pasts.",p8,r6,1,0,48
"Cleans the carpets very well! I got it on a deal of the day special, could not resist 100 bucks for a great machine like this one!Even at its normal price its a great deal!!",p9,r1,-1,1,49
I have been using this for a while now.  I love all of the attachments so I can do furniture and steps.  Very easy to use and clean.  Great price for it.  Would definitely recommend this to anyone.,p9,r2,-1,0,50
"This is the second Hoover power scrub deluxe that I have owned.  I loved the old one, but I lost the lid (somehow?!).  The new one is even more powerful than the old model.  This cleaner has a lot of suction power.  It does a great job of deep cleaning carpet.  The attachment makes it easy to clean your car carpets.  I have even used it to clean my tile.  It t does an good job of scrubbing solid surfaces. .  It does, however, leave the floor a little wet unless you go over it several times.",p9,r3,0,1,51
"Works like a charm, very happy. We have pets and flat carpets that hadn't been washed in years. Cleans them perfectly. I recommend what's said elsewhere, do a rinse pass before and after the soap pass for best results.",p9,r4,0,0,52
We used this for the first time last weekend and they have really improved from older models.  The suction is fantastic and the separated water/cleaner was a great change.  Excellent product for the money.,p9,r5,1,1,53
"So far very pleased! I just got this today and I couldn't wait to try it out on my kitchen chairs.  They were in major need of cleaning.  I had a little trouble getting the hose attached correctly but once that was in, the results were great!  Can't wait to try it on my carpets this weekend!",p9,r6,1,0,54
"Really enjoyed it! Hope it gets renewed for a second season. Ignore the people complaining about nudity or profanity. There isn稚 a ton, it痴 not a kids show, and who cares?! Watch it!",p10,r1,-1,1,55
"Loved this! The writing was great, and the casting excellent. The sometimes campy, predominantly irreverent humor provides a wonderful balance to the unavoidable pathos of the afterlife theme. Mixing it up complex relationships with a murder mystery element just adds to the intrigue that leaves you wanting to see how the next episode devolps. Please keep it coming!",p10,r2,-1,0,56
"I Love this show. Good story line, good casting, written well and it has everything like comedy, mystery, drama and even a little romance. chicks will like it more then dudes, but I thought it was pretty funny and entertaining, sad there only one season but season 2 was just renewed. Cant wait for the next one esp during these pandemic times.",p10,r3,0,1,57
"I watched the series in two days...love that it had mystery and comedy. After seeing the comedy about nudity and cursing, I reflected but could not even remember the curse words that were said in this series. I agree that the two nude scenes that I remember may not have been necessary-but neither were very long. The series is refreshingly different, written well to allow the audience to get to know and like the main characters, and the leading actor and actress are great.",p10,r4,0,0,58
"Excellent premise, fun characters, and filled with drama and a lot of comedy. I watched the entire first season in one night am upset that I will have to wait at least a year for season 2.",p10,r5,1,1,59
Amazon should stop letting people review something based on a trailer or idea. They should actually have to WATCH some of it first. I found this show very enjoyable. Heartfelt but still felt "fresh." I binged it an now sadly have to wait for the next installment. Hurry please! :-),p10,r6,1,0,60
